Id,RawCoord1,RawCoord2,RawCoord3,RawCoord4,RawCoord5,RawCoord6,RawCoord7,RawCoord8,RawCoord9,RawCoord10,RawCoord11,RawCoord12,RawCoord13,RawCoord14,RawCoord15,RawCoord16,RawCoord17,RawCoord18,RawCoord19,RawCoord20,RawCoord21,RawCoord22,RawCoord23,RawCoord24,RawCoord25,RawCoord26,RawCoord27,RawCoord28,RawCoord29,RawCoord30,RawCoord31,RawCoord32,RawCoord33,RawCoord34,RawCoord35,RawCoord36,RawCoord37,RawCoord38,RawCoord39,RawCoord40,RawCoord41,RawCoord42,RawCoord43,RawCoord44,RawCoord45,RawCoord46,RawCoord47,RawCoord48,RawCoord49,RawCoord50,RawCoord51,RawCoord52,RawCoord53,RawCoord54,RawCoord55,RawCoord56,RawCoord57,RawCoord58,RawCoord59,RawCoord60,RawCoord61,RawCoord62,RawCoord63,RawCoord64,RawCoord65,RawCoord66,RawCoord67,RawCoord68,RawCoord69,RawCoord70,RawCoord71,RawCoord72,RawCoord73,RawCoord74,RawCoord75,RawCoord76,RawCoord77,RawCoord78,RawCoord79,RawCoord80,RawCoord81,RawCoord82,RawCoord83,RawCoord84,RawCoord85,RawCoord86,RawCoord87,RawCoord88,RawCoord89,RawCoord90,RawCoord91,RawCoord92,RawCoord93,RawCoord94,RawCoord95,RawCoord96,RawCoord97,RawCoord98,RawCoord99,RawCoord100,RawCoord101,RawCoord102,RawCoord103,RawCoord104,RawCoord105,RawCoord106,RawCoord107,RawCoord108,RawCoord109,RawCoord110,RawCoord111,RawCoord112,RawCoord113,RawCoord114,RawCoord115,RawCoord116,RawCoord117,RawCoord118,RawCoord119,RawCoord120,RawCoord121,RawCoord122,RawCoord123,RawCoord124,RawCoord125,RawCoord126,RawCoord127,RawCoord128,RawCoord129,RawCoord130,RawCoord131,RawCoord132,RawCoord133,RawCoord134,RawCoord135,RawCoord136,RawCoord137,RawCoord138,RawCoord139,RawCoord140,RawCoord141,RawCoord142,RawCoord143,RawCoord144,RawCoord145,RawCoord146,RawCoord147,RawCoord148,RawCoord149,RawCoord150,RawCoord151,RawCoord152,RawCoord153,RawCoord154,RawCoord155,RawCoord156,RawCoord157,RawCoord158,RawCoord159,RawCoord160,RawCoord161,RawCoord162,RawCoord163,RawCoord164,RawCoord165,RawCoord166,RawCoord167,RawCoord168,RawCoord169,RawCoord170,RawCoord171,RawCoord172,RawCoord173,RawCoord174,RawCoord175,RawCoord176,RawCoord177,RawCoord178,RawCoord179,RawCoord180,RawCoord181,RawCoord182,RawCoord183
Acontias_meleagris,9113.1426,14408.585,7109.3477,9738.1133,13118.367,6823.0425,9551.9678,11490.435,7057.6216,10150.384,8952.7617,7431.4873,9671.9023,9446.4541,8182.6943,9597.3604,9211.1582,8285.0029,9499.5234,8150.6514,7487.6865,9569.9023,8281.9834,7828.4546,9405.7021,5530.0664,7821.6768,8582.832,14337.741,7070.6938,7986.501,13097.492,6794.5444,8155.1045,11489.79,7014.3369,7501.5557,9041.5391,7430.3994,7930.1992,9419.0352,8163.0464,8024.7808,9209.3633,8317.3164,8210.0713,8125.4692,7494.3159,8059.7207,8279.0576,7780.8398,8241.1074,5557.3467,7734.4492,8296.9355,8435.2227,6346.9443,7816.1387,8411.4609,6747.1025,8291.3467,8127.9463,6690.4224,8563.2988,8201.5049,6751.353,8979.1572,8213.6162,6770.4429,9298.5029,8100.8574,6720.2358,9429.1387,8453.8711,6297.8315,9911.7793,8436.3721,6745.124,8649.832,7784.7388,7097.1494,8978.0117,7800.1313,7112.3423,8880.1719,6382.2168,9355.1191,8829.1465,7030.8389,7578.522,8900.7646,7027.2925,7584.5713,8757.1387,7030.0537,7593.0322,9069.8857,7102.5938,7787.8271,8620.4756,7082.1875,7756.2861,9153.7461,7187.6895,7899.0083,8488.918,7160.9663,7892.2729,9257.5332,7281.3384,8051.3086,8393.9814,7280.3862,8040.6787,9364.5215,7357.2617,8193.0166,8294.6035,7359.0176,8168.1553,8813.8115,6943.3589,7874.7393,8825.1357,7038.6152,7828.3467,8830.3193,10730.887,8105.8467,8809.4238,8773.3623,8949.4365,8793.4102,8577.3457,8591.7002,8842.5479,7475.7915,9535.0303,8832.0527,5432.6064,8275.2559,8875.9766,7273.876,7887.9805,8754.0215,7286.6514,7901.8086,8997.54,7054.4204,7680.75,8691.5859,7054.5923,7656.3911,8983.833,7499.3999,7386.6357,8703.8145,7503.9956,7365.6323,8821.5518,10040.615,8552.8008,8811.5068,9095.6826,9064.3135,9884.96,7293.4346,9151.5166,7752,7259.2891,9030.6045,9234.4014,7982.957,7216.4297,8421.5762,7968.3721,7184.5063,8805.1973,5690.9136,7332.894,8832.5732,8606.0752,7609.0542
Anguis_fragilis,9147.1055,15862.887,7746.438,9650.5049,14867.091,7236.3213,9630.8525,12670.161,7185.6206,10462.999,10789.43,6866.6846,9987.8438,10077.603,8305.6367,9896.0361,9216.9541,8186.2441,10142.896,8322.3447,7353.6167,10005.768,8343.7578,7726.9004,9556.083,4691.707,7683.062,8563.46,15867.307,7738.8721,8098.1489,14881.51,7281.3711,8021.7363,12669.463,7186.3145,7177.8301,10762.076,7062.3408,7666.9629,10094.287,8278.5557,7749.3701,9275.6855,8225.0371,7505.6367,8323.792,7425.0249,7696.1577,8333.1514,7816.0244,8150.4233,4731.0225,7622.5371,8167.731,9581.6064,5857.5596,7563.1675,9011.2744,7550.8193,8010.9717,8906.5918,6573.3022,8580.3916,9111.3447,6496.8662,9180.1621,9080.2627,6430.6826,9733.7549,8904.8887,6651.4658,9551.3203,9620.7529,5866.1118,10078.45,8975.7607,7441.5024,8266.4736,8054.5864,6491.752,9524.0947,8124.1909,6499.4121,8901.3545,5460.5376,9216.7695,8797.0527,7052.0513,6852.4697,9022.6221,7058.2852,6861.6348,8555.2158,7071.9883,6864.7104,9530.5967,7004.3105,7143.8374,8124.9199,7036.6851,7173.6216,9640.7871,6998.2358,7412.2583,8038.106,7034.793,7436.5366,9602.4932,7069.7183,7727.8457,8095.5732,7063.1973,7779.6997,9696.4072,7045.2109,8000.7383,8050.6787,6988.5322,8016.5947,8827.8604,6808.6455,7477.6519,8841.127,7151.0723,7452.2207,8827.0029,10844.548,8317.9082,8853.5332,8996.8223,9557.3506,8835.0254,8481.9971,8637.8535,8908.0693,6874.2627,9584.9775,8843.8057,4553.647,8169.8198,9135.4434,7270.7705,7493.4995,8647.2207,7265.0283,7492.7109,9293.7568,7029.46,6956.7749,8324.6025,7065.4019,6965.8506,9479.3486,7446.585,7159.6187,8265.6641,7442.6294,7104.5947,8829.0635,10615.8,8631.8809,8840.4561,9128.3799,9617.9814,10024.392,6968.2808,8568.1943,7638.3662,6965.5513,8571.1504,9910.1895,8661.8242,6930.5981,7785.0723,8599.041,6785.3267,8845.9385,4687.394,7132.7695,8825.1572,8901.084,7171.0977
Basiliscus_vittatus,9549.2354,20326.148,8404.1016,10021.269,19562.223,7979.3413,9426.6348,14170.487,5649.4717,11757.844,12330.822,4875.501,11105.199,11012.401,7917.6279,11091.48,10001.47,8763.7051,11765.453,8388.5449,7138.3701,11217.617,9321.5371,8904.3379,9838.6895,3658.0254,9044.5488,8216.1084,20339.842,8365.0332,7644.2002,19690.076,8193.3096,8308.6426,14218.177,5598.6274,5938.6035,12226.389,4892.0566,6583.7041,10944.313,7808.3291,6732.001,10174.011,8829.2266,5934.0986,8302.2305,6990.9995,6454.7646,9647.6445,8747.9551,7664.916,3725.6499,9073.124,7594.25,10249.066,4023.373,6389.144,9371.2129,5769.665,7744.1504,8534.4658,5074.813,8349.7813,8647.3711,5140.792,9326.4941,8652.4922,5222.5762,9764.3271,8462.9111,5128.8936,10146.772,10298.878,4049.8325,11466.737,9510.8525,6087.5,7505.1191,8052.209,5199.2954,10043.119,8008.8076,5291.3867,8796.5283,4982.5835,11448.161,8875.5938,6712.6064,6038.71,9377.168,6661.8354,6104.2749,8366.207,6690.1904,6054.5366,10267.933,6433.937,7062.6055,7414.2471,6493.6914,7097.5205,10661.672,6509.335,8210.2344,7006.5752,6562.0781,8141.9087,10548.908,6493.292,8756.4824,7152.2212,6572.2837,8861.1885,10540.74,6660.8945,9161.9131,7168.623,6610.4639,9166.248,8765.8623,4943.5913,7899.8486,8848.5498,6205.7388,8168.4473,8862.5176,12358.816,7685.4009,8818.1514,9413.1084,10919.996,8804.4873,8798.7705,10347.292,8871.4297,6810.0659,11601.495,8742.4736,3458.4319,10116.496,9202.8564,6418.8887,7929.3315,8607.3789,6383.6426,7849.8545,9818.3447,6516.4233,6358.585,7868.7178,6542.4355,6346.2339,9939.166,6593.835,7694.7256,7632.7598,6594.6543,7634.8599,8804.1162,12048.565,8893.1064,8834.4395,9907.9941,11026.189,10933.313,6863.8447,10172.375,6643.9014,6814.124,10209.095,11233.574,8812.1152,5662.1953,6404.3428,8736.3027,5597.041,8833.2295,3835.813,8241.4238,8847.7236,9171.4473,6931.1978
Blanus_cinereus,9005.7021,12508.756,6868.4507,9501.3057,11951.219,6867.1563,9481.9883,11081.592,7103.1123,9887.6113,9418.7783,7434.7666,9375.6318,9500.248,8305.2314,9367.2363,9181.9785,8309.0234,9356.3301,8512.4893,7270.1787,9391.1377,8709.0098,7818.998,9297.6738,7143.6045,7736.7666,8807.833,12497.379,6867.1104,8308.5107,11925.272,6795.4731,8290.4766,11016.991,7066.5376,7777.6162,9386.4746,7422.3286,8072.8267,9514.0898,8105.9121,8182.9312,9207.1152,8181.6782,8412.7412,8452.3516,7174.0723,8278.998,8685.3281,7659.4585,8392.8457,7154.5708,7663.1011,8668.5156,9006.3057,6786.9795,8233.0791,8655.9375,7223.5752,8296.0469,8613.7803,7083.0825,8758.7412,8792.293,6968.79,9025.2412,8789.9238,7005.0938,9481.2441,8631.6104,7221.3926,9166.7578,8998.9639,6840.2305,9508.4502,8674.7734,7391.3496,8776.0039,8411.7197,6992.1851,9011.7959,8413.0889,7022.3931,8717.7041,7782.6724,8658.7188,8817.9004,8049.8955,7718.5288,8878.7344,8055.4834,7729.8022,8768.418,8052.6602,7723.9209,9006.9883,8130.9688,7795.6182,8615.6572,8125.6724,7762.2856,9061.3457,8162.8481,7841.6392,8554.793,8153.8091,7799.4907,9112.3613,8216.8594,7912.0771,8501.7598,8205.1855,7846.3838,9151.9961,8266.1094,7971.0513,8442.7021,8271.6543,7905.1069,8813.71,8124.0605,7820.0029,8815.4014,8174.8877,7752.103,8743.9805,10107.686,8112.8706,8735.4521,8955.9111,8531.8506,8795.9551,8917.6426,8215.4824,8725.0293,8496.4307,8719.2754,8827.5928,7131.7046,8069.9072,8880.4521,8004.2915,7550.4712,8782.5088,8003.7271,7546.2329,8948.5732,8087.1255,7751.5298,8698.7949,8075.2505,7736.8096,8960.6748,8033.3438,7422.4712,8712.7354,8018.1338,7391.5259,8732.4365,9936.6475,8219.6523,8743.5537,9166.3994,8543.4023,9552.8545,8309.6563,8563.7109,7924.8838,8298.1299,8435.0996,9339.4873,8504.8193,7174.8774,8444.4873,8481.0811,7089.0981,8832.5293,7138.6748,7395.0747,8863.8506,8994.1113,7305.5532
Bradypodion_pumilum,8948.6074,12929.284,7164.0508,9111.7422,12747.044,7137.2515,9154.249,12485.244,7138.2773,10638.296,11059.145,6682.0615,10125.484,10585.045,8018.3369,10091.208,9973.1631,8201.2568,10461.183,9287.1689,7650.1855,10173.072,9446.7607,8303.1016,9383.8125,6374.478,7373.1016,8763.1758,12952.604,7168.312,8622.1445,12777.69,7205.1719,8594.6211,12567.536,7177.1621,7041.2344,11023.484,6638.4072,7558,10601.476,8066.0371,7588.0254,9923.7109,8329.5029,7251.3496,9205.4131,7562.6909,7499.5566,9473.3828,8300.9531,8254.3799,6337.1924,7455.459,8363.1846,10118.031,5520.0762,7898.2695,9718.6152,6270.6489,8181.7817,9701.627,6097.02,8583.6445,9697.2598,6209.9609,8925.7813,9590.4697,6067.0308,9419.9717,9517.8018,6055.2188,9323.5195,9899.0459,5515.6377,9728.1338,9536.5059,6321.7231,8173.1406,8927.6768,6294.1475,9598.5303,8860.4844,6364.4111,8846.9863,7070.0811,9633.9336,8869.0576,8269.6631,6588.6416,9052.3887,8288.0693,6598.2339,8659.5742,8284.9023,6565.8921,9607.7666,8115.1294,7117.147,8137.1401,8178.5557,6975.9897,9922.6768,8196.7236,7897.3813,7713.9507,8259.5762,7827.9395,9625.8242,8284.4141,8478.5605,7922.8315,8325.6367,8412.001,9609.6611,8230.6445,8566.0928,7914.729,8296.2197,8570.7861,8824.1396,7837.3887,7815.5352,8844.6621,8286.4727,8331.8105,8925.0342,11131.361,8087.6338,8808.3389,9577.8408,9268.4297,8797.8779,9413.2314,8833.1035,8880.7266,8640.0254,9786.2617,8825.4482,6312.5195,7982.1519,8994.2539,8288.7793,8292.2959,8729.6748,8292.8799,8351.5918,9462.1357,8218.4141,6804.4346,8336.4551,8241.0479,6718.9814,9294.085,8271.7646,7675.5825,8166.6094,8248.9756,7567.9131,8899.7598,10695.238,8784.7012,8865.7793,10055.867,9441.8281,9999.8516,8147.6021,9191.666,7628.126,8210.3887,9120.4111,10043.983,9420.2324,6659.0532,7665.0967,9618.667,6626.3164,8836.043,6530.7773,7083.8252,8825.5254,9755.9063,7172.2793
Chalcides_chalcides,9168.3838,15731.49,7984.8447,9708.8301,14767.937,7568.4932,9487.1758,12469.529,7129.6016,10508.9,10505.553,7247.6528,9919.6914,10520.772,8596.126,9882.2012,10032.463,8778.3281,10433.897,9010.249,7569.8286,10202.43,9417.6875,8277.5166,9435.9736,5598.5864,7828.6069,8586.9717,15740.079,8000.0654,8014.9316,14894.502,7595.8799,8246.2275,12464.853,7152.584,7183.6201,10581.233,7232.1099,7751.5488,10573.067,8574.3057,7736.2593,10011.48,8729.4082,7235.9448,9062.8057,7642.3794,7472.9834,9460.5098,8124.9868,8154.1035,5644.6074,7850.0903,8196.6855,9573.5293,6291.0264,7464.2256,9271.7393,6894.335,8140.9878,9033.9102,6626.041,8516.2832,9132.7881,6582.123,9137.8594,9101.2588,6568.1743,9566.1797,9002.3486,6639.5688,9556.6904,9505.9492,6303.8926,10281.115,9261.0303,7065.2266,8106.2236,8491.0127,6683.1289,9592.8281,8502.4971,6656.9961,8843.5654,6475.5732,9510.9844,8840.29,7635.792,7069.2988,9048.6064,7706.7153,7076.27,8608.4521,7693.5762,7059.7568,9338.0938,7819.4336,7409.1318,8290.8799,7832.0205,7437.4087,9332.3467,7792.979,7609.0044,8297.7324,7824.0396,7626.6875,9525.1699,7754.5742,8153.5068,8103.5391,7723.9546,8179.2363,9603.749,7859.1782,8289.416,8027.6943,7829.9067,8300.2129,8818.2061,7236.5327,7777.4336,8823.4316,7598.2871,7801.4854,8847.9688,11214.475,8289.6426,8837.1113,9576.5234,9596.4063,8826.4121,9259.6924,9029.25,8813.7393,7808.4341,9812.6543,8829.4258,5560.1621,8455.3438,9073.8057,7821.1514,7780.7993,8511.2031,7835.9028,7772.4541,9243.71,7758.7388,7155.458,8387.3242,7770.0747,7185.2441,9371.0732,7911.7959,7243.9619,8210.8145,7907.0723,7346.2275,8824.5732,10881.997,8771.3564,8837.8447,9864.6162,9662.7676,9983.8047,7878.374,8938.9824,7658.6602,7803.5938,8958.6436,10219.356,8900.1777,6996.3682,7555.1846,8927.9355,6891.6743,8776.332,5541.9219,7278.1016,8844.4756,9419.1924,7540.2168
Bachia_flavescens,9086.5986,14719.75,7223.0801,9538.4746,13812.537,7029.6216,9434.582,12056.888,6874.0723,10155.893,10144.271,7141.3809,9792.0547,10175.05,8012.1665,9790.8506,9787.8115,8098.3403,10083.705,8665.3828,7452.1875,9800.2803,8968.8262,8272.1738,9531,5545.6196,8025.8022,8649.5869,14704.77,7236.731,8232.6816,13880.113,7039.21,8270.1836,12051.682,6736.9097,7564.6338,10108.767,7094.3364,7930.4541,10227.743,8036.3765,7828.2759,9785.5615,8071.4658,7544.165,8586.1602,7477.9351,7735.8804,8861.625,8139.209,8073.23,5536.937,8017.1479,8201.8223,9467.9355,6350.3418,7926.2412,9456.9697,6695.1436,8436.1035,9248.5264,6658.2144,8653.5273,9319.2979,6619.6196,8967.7227,9299.7236,6618.3906,9158.9219,9212.6113,6666.147,9447.0742,9375.4121,6351.8315,9869.2949,9454.1338,6732.0474,8153.4141,8393.9307,6689.5,9354.5352,8328.0674,6691.3662,8774.3711,6579.1611,9475.1143,8792.4551,7450.397,7225.2119,8937.5352,7445.376,7232.2793,8638.1396,7420.7769,7217.2402,9380.7559,7550.0811,7542.0151,8182.4663,7534.9619,7533.4082,9354.084,7647.9019,7765.0273,8200.9482,7612.3325,7737.7598,9356.584,7733.1313,7899.1587,8193.0195,7686.8843,7887.5259,9390.9863,7752.6519,8039.1675,8151.5332,7703.2979,8015.4316,8797.8594,7360.5015,7690.3315,8785.4209,7615.4434,7548.23,8861.4414,11014.967,7849.8096,8765.6885,9389.7656,8985.9492,8766.627,9140.7949,8836.2832,8744.5547,7654.2227,9489.2705,8819.8477,5617.4307,8651.0742,8981.0332,7844.1021,7694.3843,8608.0771,7848.1445,7709.5029,9235.4033,7399.1943,7358.8467,8346.7637,7410.9312,7334.5601,9433.5215,7863.4819,7234.6982,8230.4746,7872.1929,7209.5571,8814.7031,10811.574,8331.5625,8831.1689,9712.1768,9076.6563,9872.7559,7983.9985,8679.5098,7735.1396,8021.688,8673.3232,9727.2813,9062.0938,6894.0635,7856.5923,9092.9209,6941.2661,8777.1035,5505.2964,7447.0449,8793.0225,9387.9473,7166.6401
Trioceros_jacksonii,8671.1895,21606.461,10117.444,8774.0342,21277.699,9850.2959,9555.8457,14133.88,6727.6475,11939.055,11862.008,6371.1479,10917.832,11086.063,8086.3457,10675.242,10739.338,8494.6719,11434.8,10244.408,7359.562,10984.681,9856.8398,8562.4805,9534.1533,4744.293,7884.6362,8490.0889,21632.209,10095.595,8403.3613,21275.594,9821.4102,8258.7432,14238.194,6729.6514,5932.9238,11948.992,6244.2637,6852.1279,11233.972,8082.8574,7087.8066,11001.907,8459.7881,6413.687,10234.023,7342.9434,6706.8335,9956.0732,8500.5137,7802.7139,4941.126,7747.5479,7641.9297,11622.184,4869.147,6474.5889,10673.159,7389.1758,7904.1899,10148.311,5858.0801,8536.0889,10477.409,6048.2046,9638.8818,10231.583,5957.9414,10413.046,10196.651,5863.6362,10553.567,11574.338,4932.1719,11449.932,10661.408,7526.4785,7492.5806,9444.1729,5771.3418,10482.796,9391.1357,5830.9722,8699.5361,5744.4902,10211.495,9002.9219,9605.6816,5813.0371,9212.0977,9570.0908,5891.4727,8812.167,9570.9609,5792.2666,9992.6885,8471.6748,6397.0479,7921.3423,8475.3623,6365.6064,10279.421,7876.958,7266.855,7419.6074,8008.4336,6890.2017,9981.9688,7808.0942,8487.2744,7490.0771,7823.5073,8490.7256,10203.731,7754.2739,9043.3721,7258.9775,7783.0845,9016.5996,8775.585,7180.0059,7523.8232,8863.499,7763.7896,8012.4092,8883.2637,12299.771,7963.6289,8771.3096,10217.283,10284.873,8746.7217,9594.4863,10179.25,8725.8242,8305.957,10762.151,8679.2109,4289.2588,8350.9707,9206.1143,7957.1406,8074.9805,8335.6855,7996.9321,8069.7949,9480.4551,9340.5293,5974.7324,8276.9766,9299.0273,5922.0439,10311.983,8345.8623,6727.5996,7498.9053,8374.9678,6676.4946,8772.3096,11314.456,9490.2998,8762.5889,10712.3,10255.394,10362.641,7515.8433,9658.0225,6978.4189,7669.2432,9610.9893,10980.832,10162.78,6194.667,7078.9561,10160.267,6043.0068,8687.3965,4980.8716,7103.8428,8918.1807,10133.973,7327.8096
Dasia_olivacea,9081.2207,19477.666,7005.1328,9879.21,18148.943,6751.6523,9506.6367,12995.508,6085.8901,11400.212,10598.511,5831.7642,10438.367,10155.563,8197.0713,10213.7,9241.4307,8392.0088,10857.388,8069.0762,6824.6035,10588.425,8148.6572,8372.1826,9924.002,3591.2344,8759.0469,8294.4824,19417.361,6945.3203,7607.1899,18205.133,6762.8604,8006.6128,12956.215,6029.2646,6244.585,10579.959,5750.0146,7263.5342,10079.541,8069.708,7391.6055,9014.6309,8351.6768,6777.8462,8267.3721,6878.6006,7104.8506,8170.6582,8290.3174,7869.856,3605.1653,8778.4102,8011.7993,9244.9688,5233.3198,6886.812,8702.2578,6208.4258,7798.1401,8333.124,5841.6904,8423.0938,8494.1582,6076.6279,9203.1055,8550.2168,6032.0986,9966.7988,8437.373,6012.7197,9732.4551,9310.4863,5270.5093,10772.902,8778.332,6336.5986,7613.3711,7724.3169,6146.2598,10154.796,7722.0586,6201.4395,8902.3838,4710.7563,10378.89,8912.0498,6589.5342,6896.709,9227.29,6509.4312,6862.7627,8555.4814,6497.5112,6852.2134,9806.3662,6226.5483,7488.1553,7931.8398,6222.7095,7543.5649,9915.5723,6317.8501,7943.8662,7853.8457,6282.2383,7954.7939,9872.5928,6308.8174,8459.3174,7858.583,6308.2393,8486.5,9940.8359,6332.5376,8742.6621,7816.4795,6324.9287,8760.7373,8866.6289,5869.6655,8402.5703,8899.0029,6367.3164,8499.8604,8801.2197,10913.837,7492.2085,8806.5322,8850.3594,9956.6025,8833.9805,8485.499,9208.0762,8909.6816,6813.9814,10622.215,9057.7178,3308.8843,9253.0068,9138.3398,6695.7471,8087.4795,8665.7803,6705.1479,8053.3076,9487.5996,6339.0283,7057.5156,8275.1123,6299.792,7103.8379,9773.0234,6715.0542,7203.4658,7877.9258,6709.3179,7109.0947,8817.0088,10421.822,8499.7637,8807.5371,9288.833,10192.487,10535.596,6050.1875,9462.9395,7256.2178,6115.6211,9556.4287,10679.655,8275.2979,6485.6416,6975.6318,8275.0225,6484.0625,8973.9561,3795.2849,7959.4995,8833.293,9018.7471,7149.3799
Draco_volans,8873.8145,19257.133,10742.955,9011.0234,18890.117,10411.037,8956.084,14970.65,7273.5874,11932.059,12424.071,5787.6211,11420.789,12398.304,8507.5762,10889.605,12020.517,9172.9609,12248.48,10871.291,7688.3384,11175.047,11457.278,9514.332,10051.706,5814.5391,7948.1909,8366.0186,19261.766,10730.059,8124.4731,18930.279,10403.158,8278.1289,14963.313,7245.7627,5515.7295,12431.442,5844.459,5957.8911,12081.535,8530.3623,6742.627,11960.543,9308.4824,5324.73,10549.053,7924.5059,6499.7056,11333.026,9702.5996,7843.7085,5856.2114,7808.4844,7122.0786,11936.281,4962.4175,5427.8359,11160.559,7424.5996,7492.0479,10180.791,6216.1636,8313.1914,10297.711,6189.0278,9246.2002,10296.957,6180.749,9713.4932,10184.901,6131.0361,10438.366,11848.211,5001.4941,12021.668,11358.006,7272.3809,7220.7715,9678.8799,6225.4351,10534.329,9734.2285,6175.8125,8965.9033,6466.0957,10685.258,8809.7568,9739.3389,5749.6108,9074.0156,9814.4609,5707.8462,8514.4141,9763.1191,5733.6719,10369.591,8779.46,6336.1265,7281.519,8678.126,6461.5781,10850.357,8318.499,6814.1626,6917.335,8269.7236,7122.9189,10290.145,8208.0557,8412.0059,7500.8281,8195.4434,8424.6523,10365.066,8224.6963,8755.8018,7502.5015,8206.5254,8822.248,8944.4316,6797.9355,6803.9951,8893.4658,7398.1128,7227.3867,8705.3281,13185.331,8683.7373,8923.8145,10374.063,11266.857,8873.2061,10067.004,10161.031,8986.4072,8712.9229,11246.841,8972.6729,5363.9175,8520.5156,9240.168,8321.8691,8068.4346,8545.8818,8320.5674,7870.6899,9875.9902,9557.2402,5853.6553,7826.7515,9550.3115,5934.4902,10918.752,8896.1123,7504.3057,6681.5391,8709.9609,7716.1006,8807.1699,12170.179,10082.1,8968.1699,10845.356,11641.238,11046.609,8385.583,9936.7832,6824.73,8325.1504,10013.758,11766.568,10660.922,6487.9951,5609.5918,10497.954,6708.0293,8906.5244,5953.7021,6998.5029,8787.9766,10587.114,7904.1968
